,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
ABCD4,558,550,832,2243,634,836,487,1204,532,934,671,781
ABCE1,498,6726,2968,7030,286,5008,2917,5861,1265,2684,370,2808
ABCF1,1446,2162,1785,5188,2092,1939,2394,3172,1900,1286,3063,1831
ABCF2,6587,6878,5702,15174,6232,6585,4103,11575,2437,5915,6215,5260
ABCF2P1,0,1,0,0,0,0,0,2,0,0,3,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,2361,2094,2584,6996,2835,2755,1947,5441,1528,3042,2720,2915
ABCG1,0,0,0,2,0,1,2,6,5,20,4,4
ABCG2,113,114,451,623,161,117,25,40,4,10,24,12
ABCG4,4,0,2,4,0,0,0,4,0,0,0,0
ABCG5,0,0,0,2,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0,0,0,0,0
ABHD1,0,5,3,18,3,7,0,0,0,0,4,3
ABHD10,1523,1558,1283,3637,969,2006,223,978,142,388,749,432
ABHD11,497,472,361,1219,327,259,164,441,106,201,152,234
ABHD11-AS1,30,22,15,66,14,34,15,38,13,23,19,29
ABHD12,2863,1757,2114,5722,2000,2162,588,2117,667,1634,1131,1122
ABHD12B,0,7,6,7,10,6,0,0,0,0,0,0
ABHD13,1039,1141,943,2066,1319,1512,1110,2679,758,1370,1881,1705
ABHD14A,404,140,647,1807,519,475,91,238,237,329,196,191
ABHD14A-ACY1,493,178,566,1785,1,503,114,345,5,278,104,193
ABHD14B,539,555,1722,2078,1280,662,331,798,863,1408,1087,525
ABHD15,982,838,1052,2777,1290,1361,375,854,247,496,557,558
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,1164,1029,1507,5810,1313,1397,2138,5395,2608,5246,2345,2450
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,847,759,910,1933,789,919,391,1092,487,938,538,683
ABHD17AP1,78,50,130,228,96,69,21,81,26,68,61,51
ABHD17AP3,21,13,16,56,10,7,4,10,8,10,9,10
ABHD17AP4,44,30,58,108,42,61,29,57,11,38,52,41
ABHD17AP5,36,19,41,87,22,13,11,26,10,21,13,16
ABHD17AP6,102,85,144,256,117,110,59,127,44,86,87,78
ABHD17AP7,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,589,635,509,1267,723,811,811,2341,389,646,936,919
ABHD17C,636,585,276,1045,674,797,155,365,189,325,375,343
ABHD18,280,244,255,810,268,380,173,373,152,242,340,398
ABHD2,376,453,11389,9009,4215,1658,5426,1508,3253,477,9620,9721
ABHD3,321,245,228,935,289,334,186,481,111,286,209,277
ABHD4,926,875,2360,5559,1460,1597,1035,2447,998,1969,1011,985
ABHD5,1343,1584,1359,3986,1647,1372,1854,2699,1246,3342,2528,3078
ABHD6,478,522,637,1803,490,517,168,440,186,284,268,283
ABHD8,424,325,796,1797,532,627,210,567,253,469,235,373
ABI1,3380,3710,3597,8316,3983,4279,4127,11124,3580,6262,6700,4756
ABI1P1,0,0,0,0,0,0,0,0,0,0,0,0
ABI2,505,342,1131,1113,1293,912,414,1171,259,389,1297,740
ABI3,57,70,85,322,46,65,17,35,11,25,14,33
ABI3BP,4337,2740,2434,11260,3878,7607,17158,31009,8790,17133,44398,33770
ABL1,23566,22078,15135,40096,18579,19480,15278,37318,8373,16935,17402,17499
ABL2,5668,4942,2029,5058,3350,3970,4951,11146,1707,3382,6556,5620
ABLIM1,16,26,45,3379,18,178,200,31,205,21,6,192
ABLIM2,8,0,0,12,6,8,0,0,0,0,6,2
ABLIM3,289,674,582,290,878,128,1827,1780,358,1469,2635,2977
ABO,0,0,0,0,0,0,0,0,0,0,0,0
ABR,6793,6584,5886,14445,6925,7628,3884,8158,2246,4496,5816,5292
ABRA,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,847,1000,692,1047,716,1033,826,775,790,1043,1160,824
ABRAXAS1,1018,1208,600,1754,1060,1184,329,794,218,249,508,402
ABRAXAS2,1841,1902,1389,3455,1924,2277,1325,3453,740,1381,2306,2080
ABT1,1814,1674,1726,5275,1623,1659,1207,2798,830,1684,1119,1389
ABT1P1,0,0,0,0,0,0,0,0,0,0,0,0
ABTB1,714,555,641,2479,548,546,766,1807,572,1099,552,968
ABTB2,279,170,447,839,562,538,615,1398,438,732,1167,1037
AC000032.1,50,25,33,98,7,11,11,19,9,6,0,1
AC000035.1,0,0,0,0,0,0,0,0,0,0,0,0
