"","value.var"
"ABHD1",0.690563746207885
"FBXO7",0.463614161869978
"KLHL36",-0.414579846249256
"RPA1",-0.365250431708497
"PPP1R18",0.0492359904449618
"TLR6",0.0217970594928204
